,Body,Brand,FE-L100K-CMB,FE-L100K-CTY,FE-L100K-HWY,HP_value,Model,Price,Torque_value,Year,details,image,HP,Torque,Braking,RoadHolding,FuelEconomy
22,Sedan,Mazda,9.42,10.46,7.85,184.0,3,15900,185.0,2018,https://www.mazda.ca/en/vehicles/mazda3/overview/,https://ca.mazdacdn.com/common/cars/2018/m3s/360/soul-red-metallic/j36a_bnn1_bbnt_nae_41v_bw8_360_37.ts.1708141436080000.jpg,2.241776093136591,2.2096881220968814,2.5335276967930027,2.609289617486337,2.578510307975593
23,Sedan,Toyota,10.87,12.84,8.83,203.0,Camry,35845,184.0,2018,https://www.toyota.ca/toyota/en/vehicles/camry/overview,https://s3.amazonaws.com/toyota.site.toyota-v5/tci-prod/toyota/media/pages/catalogue/camry/2018/overview/gallery/toyota-2018-xle-celestial-silver-metallic-s.jpg?ck=03152018015424,2.4732638418843913,2.1977438619774388,2.479624085163007,2.8483606557377037,2.257575903753944
24,Sedan,Kia ,8.83,9.74,7.43,147.0,Forte ,15495,132.0,2017,http://www.kia.ca/forte?lang=en,http://www.kia.ca/content/2018-forte/gallery/gallery-img-1-lg.jpg,1.7909841613645592,1.5766423357664232,2.393625561978163,2.4082568807339446,2.7084882839296673
25,Sedan,Hyundai ,7.85,8.83,7.06,128.0,Elantra ,15999,156.0,2017,https://www.hyundaicanada.com/en/showroom/2018/elantra,https://www.hyundaicanada.com/-/media/hyundai/showroom/2018/elantra/featurecarousel/performance/desktop/img_001.jpg,1.559496412616759,1.863304578633046,2.393625561978163,2.3785253143051306,2.9684442358378162
26,Hatchback,Chevy ,8.07,9.74,5.89,137.0,Cruze ,20995,240.0,2018,http://www.chevrolet.ca/cruze-compact-car.html,http://www.chevrolet.ca/content/dam/Chevrolet/northamerica/ca/nscwebsite/en/home/vehicles/cars/2018_cruze/01_images/masthead/ca-2018-chevrolet-cruze-compact-car-mo-masthead-1480x551-01.jpg,1.669148504128875,3.125424496264433,2.5335276967930027,3.206967213114753,2.903455247860779
27,Coupe,Chevy ,9.40,11.76,7.84,275.0,Camaro,29795,295.0,2018,http://www.chevrolet.ca/camaro-sports-car.html,http://www.chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2018/performance/camaro/colorizer/01-images/2018-camaro-2lt-g7e.jpeg?imwidth=1200,3.498331479421579,4.246094634367218,5.0,5.0,2.1707460613018688
29,Hatchback,Honda,9.11,9.74,7.85,130.0,Fit,15190,114.0,2018,https://www.honda.ca/fit,https://images.honda.ca/models/H/Models/2018/fit/ex_l_navi_10445_299aegean_blue_metallic_front.png?width=1000,1.583863544063896,1.3616456536164567,2.3133923029174426,2.4082568807339446,2.6434992959526302
30,Hatchback,Toyota ,5.43,5.23,5.65,121.0,Prius,27480,105.0,2017,https://www.toyota.ca/toyota/en/vehicles/prius/overview,https://s3.amazonaws.com/toyota.site.toyota-v5/tci-prod/toyota/media/build/prs/360/2018/0070_1.png?ck=03142018021226,1.47421145255178,1.2541473125414733,2.3005401234567904,2.4379884471627586,4.008268043470411
31,Hatchback,VW ,9.74,11.30,8.07,170.0,Golf,19595,199.0,2017,https://www.vw.ca/en/models/golf.html,http://st.motortrend.ca/uploads/sites/10/2016/10/2016-volkswagen-golf-4dr-hatchback-angular-front.png,2.071206173006633,2.376907763769078,2.464864417989418,2.497451580020387,2.513521319998556
32,Hatchback,Ford ,9.74,9.10,6.40,160.0,Focus,16848,146.0,2017,https://www.ford.ca/cars/focus/,http://st.motortrend.ca/uploads/sites/10/2016/12/2017-Ford-Focus-Titanium-front-three-quarter.jpg,1.9493705157709487,1.74386197743862,2.3133923029174426,2.4677200135915727,2.513521319998556
33,Sedan,Subaru ,10.87,12.28,9.11,152.0,Impreza,19995,145.0,2017,https://www.subaru.ca/WebPage.aspx?WebSiteID=282&WebPageID=21688&Range=Impreza&ModelYear=2018,http://st.motortrend.ca/uploads/sites/10/2017/03/2017-Subaru-Impreza-Sport-hatchback-front-three-quarter-02.jpg,1.8519019899824012,1.731917717319177,2.4358660130718954,2.4379884471627586,2.257575903753944
34,Hatchback,Fiat ,8.31,9.11,7.43,101.0,500,16245,98.0,2018,https://www.fiatcanada.com/en/500,https://medias.fcacanada.ca//specs/fiat/500/year-2017/media/images/colorizer/2018-fiat-500-colourizer-pwh_7d1d1ae2d689877530f56ea9bd48e2e6-desktop.png,1.2305401380804115,1.170537491705375,2.326388888888889,2.609289617486337,2.838466259883742
37,SUV,Hyundai ,13.45,15.69,11.30,185.0,Santa Fe Sport,28599,178.0,2018,https://www.hyundaicanada.com/en/showroom/2018/santa-fe-sport,http://wpmedia.driving.ca/2018/02/2019-hyundai-santa-fe-1.jpg?quality=99&strip=all&w=960&h=480&crop=1,2.2539596588601594,2.126078301260783,2.326388888888889,2.3190621814475025,1.82342669149357
38,SUV,Ford ,11.30,13.45,9.74,179.0,Escape,26199,177.0,2017,https://www.ford.ca/suvs-crossovers/escape/?searchid=71700000010164451,http://st.motortrend.ca/uploads/sites/10/2016/06/2017-ford-escape-titanium-suv-angular-front.png,2.180858264518749,2.1141340411413405,2.250528381642512,2.609289617486337,2.1707460613018688
39,SUV,Kia ,13.45,14.13,12.28,181.0,Sportage,26995,175.0,2018,http://www.kia.ca/sportage?lang=en,https://cdn.images.express.co.uk/img/dynamic/24/590x/Kia-Sportage-2017-745158.jpg,2.205225395965886,2.0902455209024553,2.379869093231162,2.4677200135915727,1.82342669149357
40,SUV,Nissan ,10.46,11.30,8.83,170.0,Rogue,26148,175.0,2017,http://www.nissan.ca/en/crossovers/rogue?next=header.vehicles.postcard.vlp.image&dcp=ppn.114962390.&dcc=0.287977853.71700000009897492,http://www.nissan.ca/content/dam/nissan/future-and-concept-vehicles/2017-rogue/2017-nissan-rogue.jpg,2.071206173006633,2.0902455209024553,2.326388888888889,2.4082568807339446,2.3444057462060184
41,SUV,Honda ,9.74,10.46,8.56,190.0,CRV AWD,27090,179.0,2017,,"https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/images/16q3/669461/2017-honda-cr-v-first-drive-review-car-and-driver-photo-671494-s-original.jpg?crop=1xw:1xh;center,center&resize=900:*",2.3148774874780016,2.1380225613802257,2.494561579651941,2.4379884471627586,2.513521319998556
42,SUV,Toyota,11.77,12.84,9.74,176.0,RAV4 SE AWD,27750,172.0,2016,https://www.toyota.ca/toyota/en/vehicles/rav4/overview,"https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/images/16q1/665019/2016-toyota-rav4-se-awd-test-review-car-and-driver-photo-666671-s-original.jpg?crop=1xw:1xh;center,center&resize=900:*",2.1443075673480436,2.0544127405441275,2.250528381642512,2.22986748216106,2.083916218849794
44,Sedan,Acura ,7.6,8.7,6.4,155.0,csx,25790,139.0,2011,https://en.wikipedia.org/wiki/Acura_CSX,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/%2707_Acura_CSX.JPG/1024px-%2707_Acura_CSX.JPG,1.8884526871531069,1.6602521566025217,4.002915451895044,,3.04448135177095
45,Coupe,Smart Fortwo,4.2,4.6,3.8,40.0,Pure,16700,73.0,2006,https://en.wikipedia.org/wiki/Smart_Fortwo,https://static.cargurus.com/images/site/2014/02/24/10/40/2006_smart_fortwo-pic-419761347588417637-1600x1200.jpeg,0.48734262894273717,0.87193098871931,4.895043731778426,2.051478083588175,5.0
