Brand,Body,Model,Year,Base Price,Horsepower,Torque,Acceleration time,Braking Distance,Road Holding (lateral acceleration),Fuel Economy,Fuel Economy,Fuel Economy,Fuel Economy,Fuel Economy,Fuel Economy,image,details
Units,,,,,hp @ rpm,lb-ft @ rpm,Zero to 60 mph (s),70-0 mph (ft),300-ft-dia skidpad: ,EPA combined (mpg),city (mpg),highway (mpg),Combined (L/100km),City (L/100km),Highway (L/100km),,
Toyota,Sedan,Camry,2018,35845,203 hp @ 6600 rpm,184 lb-ft @ 5000 rpm,5.8,167 ft,0.87 g,26,22,32,10.87,12.84,8.83,https://s3.amazonaws.com/toyota.site.toyota-v5/tci-prod/toyota/media/pages/catalogue/camry/2018/overview/gallery/toyota-2018-xle-celestial-silver-metallic-s.jpg?ck=03152018015424,https://www.toyota.ca/toyota/en/vehicles/camry/overview
Kia ,Sedan,Forte ,2017,15495,"147 hp @ 6,200 rpm","132 lb.-ft. @ 4,500 rpm",8.7,127 ft (60-0 mph),0.81 g (avg) (no skidpad data),32,29,38,8.83,9.74,7.43,http://www.kia.ca/content/2018-forte/gallery/gallery-img-1-lg.jpg,http://www.kia.ca/forte?lang=en
Hyundai ,Sedan,Elantra ,2017,15999,128 hp @ 5500 rpm,156 lb-ft @ 1400 rpm,7.8,173 ft,0.80 g,36,32,40,7.85,8.83,7.06,https://www.hyundaicanada.com/-/media/hyundai/showroom/2018/elantra/featurecarousel/performance/desktop/img_001.jpg,https://www.hyundaicanada.com/en/showroom/2018/elantra
Chevy ,Hatchback,Cruze ,2018,16395,137 hp @ 3750 rpm,240 lb-ft @ 1500 rpm,8.2,165 ft,0.90 g,35,29,48,8.07,9.74,5.89,http://www.chevrolet.ca/content/dam/Chevrolet/northamerica/ca/nscwebsite/en/home/vehicles/cars/2018_cruze/01_images/masthead/ca-2018-chevrolet-cruze-compact-car-mo-masthead-1480x551-01.jpg,http://www.chevrolet.ca/cruze-compact-car.html
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Honda,Hatchback,Fit,2018,15190,130 hp @ 6600 rpm,114 lb-ft @ 4600 rpm,8.2,179 ft,0.81 g,31,29,36,9.11,9.74,7.85,https://images.honda.ca/models/H/Models/2018/fit/ex_l_navi_10445_299aegean_blue_metallic_front.png?width=1000,https://www.honda.ca/fit
Toyota ,Hatchback,Prius,2017,27480,121@5200,"105 lb·ft @ 3,600 rpm",10.5,180 ft,0.82 g,52,54,50,5.43,5.23,5.65,https://s3.amazonaws.com/toyota.site.toyota-v5/tci-prod/toyota/media/build/prs/360/2018/0070_1.png?ck=03142018021226,https://www.toyota.ca/toyota/en/vehicles/prius/overview
VW ,Hatchback,Golf,2017,19595,170 hp @ 4500 rpm,199 lb-ft @ 1600 rpm,7.3,168 ft,0.84 g,29,25,35,9.74,11.30,8.07,http://st.motortrend.ca/uploads/sites/10/2016/10/2016-volkswagen-golf-4dr-hatchback-angular-front.png,https://www.vw.ca/en/models/golf.html
Ford ,Hatchback,Focus,2017,16178,160@6500,"146 @ 4,500",8.5,179 ft,0.83 g,29,25,34,9.74,11.30,8.31,http://st.motortrend.ca/uploads/sites/10/2016/12/2017-Ford-Focus-Titanium-front-three-quarter.jpg,https://www.ford.ca/cars/focus/
