2017_11_17_16_36_42_394,0,0,0,4.484198E-06,2.114985E-07,2000
2017_11_17_16_36_42_464,0,0,0,1.634813E-06,2.063326E-07,2000
2017_11_17_16_36_42_532,0,0,0,5.16726E-06,1.86283E-07,2000
2017_11_17_16_36_42_614,0,0,0,1.895535E-06,1.711031E-07,2000
2017_11_17_16_36_42_684,0,0,0,9.427592E-07,1.517557E-07,2000
2017_11_17_16_36_42_765,0,0,0,1.177194E-06,1.256012E-07,2000
2017_11_17_16_36_42_839,0,0,0,2.235243E-07,9.704677E-08,2000
2017_11_17_16_36_42_919,0,0.214662,0,0.1221688,0.001516433,1920
2017_11_17_16_36_42_985,0,0.3877231,0,0.3402332,0.004583971,1960
2017_11_17_16_36_43_052,0,0.5895091,0,0.7244688,0.01142287,1900
2017_11_17_16_36_43_122,0,0.8242081,0,1.442753,0.02867547,1920
2017_11_17_16_36_43_204,0,0.5768913,0,2.034359,0.05557648,1960
2017_11_17_16_36_43_274,0,0.3948991,0,2.366292,0.07701152,2000
2017_11_17_16_36_43_350,0,0.1774623,0,2.553939,0.1034262,2000
2017_11_17_16_36_43_433,-0.02,0,0,2.596279,0.1234894,2000
2017_11_17_16_36_43_510,-0.2719862,0,0,2.563592,0.1365811,2000
2017_11_17_16_36_43_586,-0.003672123,0,0,2.542995,0.1445413,2000
2017_11_17_16_36_43_662,0,0,0,2.522259,0.149308,2000
2017_11_17_16_36_43_742,0,0,0,2.501995,0.1519959,2000
2017_11_17_16_36_43_809,0,0,0,2.486905,0.1530912,2000
2017_11_17_16_36_43_888,-0.005,0,0,2.466925,0.1537207,2000
2017_11_17_16_36_43_957,-0.025,0,0,2.447057,0.1537053,2000
2017_11_17_16_36_44_033,-0.04,0,0,2.432225,0.1534085,2000
2017_11_17_16_36_44_109,-0.265035,0,0,2.394762,0.1524706,2000
2017_11_17_16_36_44_176,-0.1003559,0,0,2.381124,0.1516328,2000
2017_11_17_16_36_44_246,0,0,0,2.360965,0.1504837,2000
2017_11_17_16_36_44_330,0,0,0,2.34199,0.1493117,2000
2017_11_17_16_36_44_404,0,0,0,2.323176,0.1481364,2000
2017_11_17_16_36_44_477,0,0,0,2.304515,0.1469622,2000
2017_11_17_16_36_44_551,-0.015,0,0,2.290597,0.146084,2000
2017_11_17_16_36_44_620,-0.035,0,0,2.272122,0.1449171,2000
2017_11_17_16_36_44_700,-0.45834,0,0,2.224272,0.1436037,2000
2017_11_17_16_36_44_776,-0.2302051,0,0,2.208534,0.1418818,2000
2017_11_17_16_36_44_853,-0.0003570914,0,0,2.194263,0.1407588,2000
2017_11_17_16_36_44_922,-0.02035709,0,0,2.176418,0.1393564,2000
2017_11_17_16_36_45_003,-0.04035709,0,0,2.158871,0.1380572,2000
