1520612301.46,None,None,None,None,0.625,6.375,-15.0625,0,0,1,0,-25.25,20.875,-19.875,-0.00333333333333,-0.00555555555556,-0.00777777777778,0.31,-0.23,0.18
1520612301.5,None,None,None,None,0.625,6.5,-15.0625,0,0,1,0,-24.5625,20.5,-18.375,-0.00666666666667,-0.00666666666667,-0.00333333333333,0.36,-0.17,-0.01
1520612301.55,None,None,None,None,0.625,6.625,-15.0,0,0,1,0,-24.875,22.0,-18.375,0.00666666666667,-0.00222222222222,-0.00777777777778,0.37,-0.24,0.06
1520612301.58,None,None,None,None,0.625,6.6875,-15.0,0,0,1,0,-25.25,22.375,-19.1875,-0.00555555555556,-0.00111111111111,-0.00222222222222,0.17,0.04,0.07
1520612301.63,None,None,None,None,0.625,6.75,-15.0,0,0,1,0,-25.25,21.5625,-19.5,-0.0111111111111,-0.00111111111111,-0.00111111111111,0.33,-0.13,0.28
1520612301.68,None,None,None,None,0.625,6.8125,-14.9375,0,0,1,0,-26.0,21.25,-19.5,0.01,0.00111111111111,-0.00888888888889,0.24,0.19,-0.1
1520612301.72,None,None,None,None,0.5625,6.875,-14.9375,0,0,1,0,-24.875,21.25,-19.1875,-0.01,-0.00444444444444,-0.00666666666667,0.32,-0.19,0.0
1520612301.77,None,None,None,None,0.5625,6.875,-14.9375,0,0,1,0,-24.1875,20.1875,-19.875,0.00555555555556,0.00111111111111,-0.00777777777778,0.07,0.15,-0.03
1520612301.83,None,None,None,None,0.5625,6.9375,-14.9375,0,0,1,0,-24.875,22.0,-19.1875,-0.00666666666667,0.00111111111111,0.00222222222222,0.23,-0.05,-0.09
1520612301.93,None,None,None,None,0.5625,6.9375,-14.875,0,0,1,0,-25.25,20.875,-19.875,0.00888888888889,-0.00111111111111,-0.00888888888889,0.11,0.23,-0.18
1520612301.99,None,None,None,None,0.5625,7.0625,-14.875,0,0,1,0,-24.5625,21.25,-19.5,0.00111111111111,-0.00111111111111,-0.00777777777778,0.06,0.01,0.07
1520612302.04,None,None,None,None,0.5625,7.0625,-14.875,0,0,1,0,-23.5,20.5,-19.875,-0.01,-0.00111111111111,-0.00111111111111,0.11,0.03,0.09
1520612302.11,None,None,None,None,0.5625,7.0625,-14.875,0,0,1,0,-24.1875,19.75,-19.875,0.0133333333333,0.0,-0.00666666666667,0.21,-0.36,0.06
1520612302.17,None,None,None,None,0.5625,7.125,-14.875,0,0,1,0,-24.5625,22.0,-19.1875,0.00111111111111,-0.00111111111111,-0.00555555555556,0.02,0.1,0.06
1520612302.21,None,None,None,None,0.5625,7.125,-14.875,0,0,1,0,-24.5625,20.875,-19.1875,-0.00666666666667,-0.00222222222222,-0.00111111111111,0.0,0.09,0.09
1520612302.28,None,None,None,None,0.5625,7.125,-14.875,0,0,1,0,-24.1875,22.0,-19.1875,-0.0155555555556,0.0,0.00222222222222,-0.04,0.25,-0.1
1520612302.33,None,None,None,None,0.5625,7.125,-14.8125,0,0,1,0,-23.0625,21.25,-19.5,-0.0177777777778,-0.00333333333333,0.00555555555556,-0.09,0.11,0.0
