,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
0,1517152664.03,2.0,0.27058823529411763,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-40.75,-27.5625,-0.0144444444444,-0.12,0.291111111111,-0.15,-0.07,-0.03,0.0,
1,1517152668.67,10.0,0.2549019607843137,0.1607843137254902,305.75,-8.5,16.25,0.0,0.0,1.0,0.0,15.1875,-12.5,-14.1875,-0.0622222222222,0.032222222222199996,-0.0966666666667,-0.01,-0.69,-0.48,4.640000104904175,4.640000104904175
2,1517152673.33,13.0,0.1803921568627451,0.14901960784313725,299.0625,-11.0625,25.6875,0.0,0.0,1.0,0.0,13.0625,2.5,-8.0625,0.012222222222200001,0.0855555555556,-0.21666666666700002,-0.12,0.0,0.07,9.299999952316284,4.659999847412109
3,1517152677.99,6.0,0.2980392156862745,0.14901960784313725,353.1875,-16.125,24.9375,0.0,0.0,1.0,0.0,3.375,12.375,-5.0625,0.011111111111099999,0.09444444444439999,0.0155555555556,0.63,0.2,-0.92,13.960000038146973,4.6600000858306885
4,1517152682.64,5.0,0.4666666666666667,0.1843137254901961,9.75,-11.5625,23.75,2.0,0.0,1.0,0.0,-5.6875,13.5625,-12.25,0.005555555555560001,0.137777777778,-0.318888888889,-0.23,-0.01,-1.23,18.610000133514404,4.650000095367432
5,1517152687.28,16.0,0.16862745098039217,0.1450980392156863,71.6875,-4.75,25.4375,1.0,0.0,1.0,0.0,-16.75,5.25,-18.1875,0.0166666666667,0.005555555555560001,0.004444444444439999,-0.42,0.22,0.29,23.25,4.639999866485596
6,1517152691.91,10.0,0.2627450980392157,0.14901960784313725,86.5,-13.8125,22.5,2.0,0.0,1.0,0.0,-16.0,5.375,-17.5,0.0166666666667,-0.004444444444439999,-0.0011111111111099998,0.74,-0.29,-0.21,27.880000114440918,4.630000114440918
13,1517152724.53,16.0,0.3803921568627451,0.21568627450980393,89.5625,-1.6875,20.75,0.0,0.0,1.0,0.0,-19.0625,-60.875,-38.25,-0.242222222222,-0.0722222222222,0.151111111111,-0.08,0.34,-0.46,60.5,32.61999988555908
14,1517152729.19,28.0,0.5333333333333333,0.4117647058823529,62.8125,-3.625,17.875,0.0,0.0,1.0,0.0,-0.5625,6.5,-10.25,-0.0633333333333,-0.0966666666667,0.104444444444,0.19,0.52,0.0,65.16000008583069,4.6600000858306885
15,1517152733.83,50.0,0.4392156862745098,0.17647058823529413,9.25,-1.5625,17.9375,0.0,0.0,1.0,0.0,4.1875,9.1875,-11.75,-0.0177777777778,0.012222222222200001,-0.0166666666667,0.11,-0.11,0.17,69.79999995231628,4.639999866485596
16,1517152738.49,58.0,0.796078431372549,0.3137254901960784,8.5625,-6.1875,18.5,0.0,0.0,1.0,0.0,4.25,9.25,-9.75,0.0033333333333300003,0.0011111111111099998,-0.0033333333333300003,-0.3,0.93,0.98,74.46000003814697,4.6600000858306885
17,1517152743.13,70.0,0.43137254901960786,0.1450980392156863,8.0625,-9.375,19.5625,0.0,0.0,1.0,0.0,6.0625,8.25,-11.75,0.0188888888889,0.00666666666667,-0.0011111111111099998,-0.79,-1.14,1.65,79.10000014305115,4.640000104904175
18,1517152747.77,71.0,0.1803921568627451,0.1450980392156863,7.6875,-11.1875,19.4375,0.0,0.0,1.0,0.0,7.375,8.25,-8.6875,-0.008888888888889999,0.004444444444439999,-0.00777777777778,-0.38,0.15,-0.12,83.74000000953674,4.639999866485596
19,1517152752.42,69.0,0.12941176470588237,0.1450980392156863,7.125,-11.5625,19.375,0.0,0.0,1.0,0.0,6.375,8.375,-9.875,0.004444444444439999,-0.008888888888889999,0.00666666666667,-0.26,0.93,-0.68,88.39000010490417,4.650000095367432
20,1517152757.06,65.0,0.13333333333333333,0.1411764705882353,6.875,-11.5,19.1875,0.0,0.0,1.0,0.0,4.5,7.75,-10.0625,-0.0344444444444,0.0288888888889,0.0033333333333300003,0.0,-0.38,0.3,93.02999997138977,4.639999866485596
21,1517152761.74,62.0,0.3803921568627451,0.21568627450980393,7.0625,-12.1875,18.9375,0.0,0.0,1.0,0.0,6.25,7.5625,-11.75,-0.0166666666667,0.005555555555560001,0.00777777777778,0.69,0.19,0.58,97.71000003814697,4.680000066757202
22,1517152766.42,66.0,0.4235294117647059,0.2196078431372549,6.375,-12.5625,18.6875,0.0,0.0,1.0,0.0,6.1875,7.6875,-11.5,0.09444444444439999,-0.024444444444400002,0.0377777777778,0.13,1.46,-0.51,102.39000010490417,4.680000066757202
23,1517152771.06,67.0,0.18823529411764706,0.13725490196078433,7.6875,-12.9375,19.1875,0.0,0.0,1.0,0.0,8.5625,9.0,-11.6875,0.0022222222222199996,-0.0288888888889,-0.0166666666667,-0.42,0.49,0.56,107.02999997138977,4.639999866485596
24,1517152775.74,65.0,0.26666666666666666,0.1843137254901961,6.9375,-13.3125,19.0,0.0,0.0,1.0,0.0,5.0625,9.1875,-13.875,0.026666666666700003,-0.0344444444444,-0.0277777777778,-0.63,-0.37,0.23,111.71000003814697,4.680000066757202
25,1517152780.41,64.0,0.2196078431372549,0.23137254901960785,7.0625,-11.5,19.5,0.0,0.0,1.0,0.0,4.1875,11.75,-15.6875,0.0033333333333300003,0.012222222222200001,0.013333333333299998,0.09,0.38,-0.42,116.38000011444092,4.670000076293945
26,1517152785.06,68.0,0.8509803921568627,0.7843137254901961,6.6875,-10.8125,18.75,0.0,0.0,1.0,0.0,-9.1875,-56.75,-33.0,-0.125555555556,-0.0377777777778,-0.0588888888889,1.59,0.34,-0.72,121.02999997138977,4.6499998569488525
27,1517152789.72,87.0,1.0,0.17647058823529413,8.6875,-7.3125,19.0,0.0,0.0,1.0,0.0,-10.375,-50.5,-35.5,0.026666666666700003,0.032222222222199996,0.004444444444439999,-0.67,0.72,-0.46,125.69000005722046,4.6600000858306885
