,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
0,1517152662.58,11.0,0.5450980392156862,0.20392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.375,-15.6875,-23.875,0.03,-0.0188888888889,-0.1,1.0,0.46,-0.38,0.0,
1,1517152667.23,16.0,0.28627450980392155,0.1568627450980392,73.25,2.0625,-9.375,0.0,0.0,0.0,0.0,-11.5625,-18.25,-23.375,-0.01,-0.03,-0.235555555556,-0.13,0.73,-2.2,4.650000095367432,4.650000095367432
2,1517152671.9,13.0,0.6705882352941176,0.23921568627450981,109.75,1.25,-5.5,0.0,0.0,0.0,0.0,13.875,-7.25,-33.875,0.0855555555556,-0.0144444444444,-0.00777777777778,-0.68,1.37,-0.46,9.320000171661377,4.670000076293945
3,1517152676.54,32.0,0.49411764705882355,0.21176470588235294,159.75,4.125,-0.1875,0.0,0.0,0.0,0.0,11.1875,-7.5625,-33.0,0.0966666666667,-0.0288888888889,-0.02,-0.2,1.39,0.1,13.960000038146973,4.639999866485596
4,1517152681.2,42.0,0.14901960784313725,0.16862745098039217,159.75,6.0625,-0.6875,0.0,0.0,0.0,0.0,9.375,-7.6875,-33.75,-0.06444444444439999,-0.0344444444444,0.005555555555560001,0.04,0.3,-0.36,18.62000012397766,4.6600000858306885
5,1517152685.86,43.0,0.11764705882352941,0.1450980392156863,159.0625,8.0,0.25,0.0,0.0,0.0,0.0,10.6875,-7.0,-32.0625,-0.15,0.01,0.0477777777778,0.92,-0.77,-0.25,23.27999997138977,4.659999847412109
6,1517152690.51,38.0,0.12156862745098039,0.1450980392156863,159.5625,8.1875,-0.125,0.0,0.0,0.0,0.0,11.375,-8.0625,-31.75,-0.008888888888889999,0.0544444444444,0.0033333333333300003,0.91,-0.17,-0.79,27.930000066757202,4.650000095367432
7,1517152695.17,25.0,0.2627450980392157,0.15294117647058825,155.8125,11.5,-1.5,0.0,0.0,0.0,0.0,9.0625,-10.5625,-30.875,-0.0555555555556,-0.00777777777778,0.0033333333333300003,1.49,-0.5,0.16,32.59000015258789,4.6600000858306885
8,1517152699.81,3.0,0.3333333333333333,0.15294117647058825,156.5625,17.25,-3.6875,0.0,0.0,0.0,0.0,10.1875,-10.25,-30.6875,0.0166666666667,-0.0033333333333300003,0.0,0.17,0.07,0.02,37.230000019073486,4.639999866485596
11,1517152713.8,17.0,0.5215686274509804,0.21568627450980393,154.75,-2.1875,-3.3125,0.0,0.0,1.0,0.0,2.5625,-15.25,-29.5,0.104444444444,0.0288888888889,0.29,-0.55,-1.99,-0.37,51.22000002861023,13.990000009536743
12,1517152718.44,33.0,0.6588235294117647,0.24313725490196078,84.125,0.875,-1.5625,0.0,0.0,1.0,0.0,-10.5,-17.875,-28.5625,0.13,-0.025555555555599997,-0.032222222222199996,-1.05,0.04,0.48,55.860000133514404,4.640000104904175
13,1517152723.11,47.0,0.5333333333333333,0.21568627450980393,73.8125,3.0,-0.125,2.0,0.0,1.0,0.0,-31.5625,12.6875,-23.375,-0.041111111111099996,0.0155555555556,0.0033333333333300003,-0.33,-1.09,0.08,60.52999997138977,4.669999837875366
14,1517152727.77,58.0,0.3568627450980392,0.1568627450980392,73.3125,5.4375,-0.375,2.0,0.0,1.0,0.0,-33.5625,11.75,-21.75,0.858888888889,0.22111111111099999,0.18333333333299998,1.51,0.06,-0.79,65.19000005722046,4.6600000858306885
15,1517152732.43,61.0,0.18823529411764706,0.16862745098039217,66.25,2.125,-3.5625,0.0,0.0,1.0,0.0,-23.75,31.375,-25.0625,-0.0288888888889,0.00666666666667,0.02,0.39,-0.79,-0.11,69.85000014305115,4.6600000858306885
16,1517152737.08,64.0,0.3215686274509804,0.20392156862745098,65.0625,2.1875,-1.0,0.0,0.0,1.0,0.0,-27.5,32.0625,-27.1875,0.0588888888889,0.0155555555556,0.0155555555556,-0.03,0.21,0.61,74.5,4.6499998569488525
17,1517152741.72,69.0,1.0,0.6274509803921569,64.3125,2.75,1.0,0.0,0.0,1.0,0.0,-26.0625,30.0,-25.75,0.0777777777778,-0.024444444444400002,-0.03,-1.67,0.76,0.61,79.14000010490417,4.640000104904175
18,1517152746.36,82.0,0.12549019607843137,0.1411764705882353,68.125,1.75,0.3125,0.0,0.0,1.0,0.0,-26.6875,28.5,-24.875,-0.05333333333330001,-0.0522222222222,0.0211111111111,1.38,0.0,-1.2,83.77999997138977,4.639999866485596
