,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
26,1517156384.33,9.0,0.34901960784313724,0.1568627450980392,41.9375,-17.0625,5.6875,0,3,1,0,-36.0625,-15.375,-22.5,-0.0166666666667,0.013333333333299998,0.025555555555599997,0.25,0.26,0.52,0.0,
27,1517156389.01,11.0,0.34901960784313724,0.1568627450980392,65.625,-13.9375,3.0625,0,3,1,0,-18.0625,-5.75,-8.25,-0.111111111111,-0.011111111111099999,0.41555555555600004,-0.2,-0.15,0.35,4.680000066757202,4.680000066757202
28,1517156393.67,9.0,0.35294117647058826,0.1568627450980392,355.625,-12.6875,3.5625,0,3,1,0,-4.1875,8.75,7.375,-0.116666666667,-0.0477777777778,0.427777777778,-0.53,0.43,-0.37,9.34000015258789,4.6600000858306885
29,1517156398.3,11.0,0.2980392156862745,0.1568627450980392,279.3125,-11.625,4.5,1,3,1,0,17.0625,-17.6875,7.375,-0.012222222222200001,0.025555555555599997,0.04333333333330001,-1.0,0.22,-0.22,13.97000002861023,4.629999876022339
30,1517156402.96,11.0,0.2980392156862745,0.1568627450980392,261.3125,-13.875,3.0,2,3,1,0,16.5625,-24.5625,5.0625,-0.0677777777778,-0.00777777777778,0.42888888888899995,-0.44,0.49,0.07,18.630000114440918,4.6600000858306885
31,1517156407.64,11.0,0.30196078431372547,0.1568627450980392,179.375,-11.3125,3.6875,0,3,1,0,-10.5625,-13.375,14.5,-0.121111111111,-0.11,0.51,0.53,0.46,0.08,23.31000018119812,4.680000066757202
32,1517156412.3,11.0,0.30196078431372547,0.1568627450980392,94.125,-11.5,5.0625,0,3,1,0,-12.25,-0.0625,17.1875,0.023333333333299996,-0.024444444444400002,0.01,0.43,0.4,-0.12,27.97000002861023,4.659999847412109
33,1517156416.94,11.0,0.32941176470588235,0.1568627450980392,80.25,-14.125,2.5625,0,3,1,0,-9.0,5.0625,12.0625,-0.06666666666669999,0.012222222222200001,0.26333333333299996,-0.26,0.1,0.31,32.610000133514404,4.640000104904175
34,1517156421.61,6.0,0.3686274509803922,0.1568627450980392,25.8125,-12.625,1.25,0,3,1,0,-14.0625,23.5625,18.5625,-0.02,0.0033333333333300003,0.0655555555556,-0.39,0.51,0.57,37.27999997138977,4.669999837875366
35,1517156426.25,1.0,0.37254901960784315,0.15294117647058825,353.0,-13.75,-1.1875,0,3,1,0,-6.75,14.0,25.5,-0.0033333333333300003,0.005555555555560001,-0.0033333333333300003,-0.18,-0.03,0.53,41.920000076293945,4.640000104904175
37,1517156435.58,2.0,0.403921568627451,0.18823529411764706,356.3125,-16.4375,3.375,0,3,1,0,-10.5,16.0,48.5,0.0777777777778,0.0355555555556,-0.20777777777800002,0.4,0.4,-0.12,51.25,9.329999923706055
38,1517156440.26,13.0,0.4823529411764706,0.20392156862745098,65.375,-16.125,10.3125,0,3,0,0,-13.6875,2.875,0.25,0.041111111111099996,-0.01,-0.2,-0.17,1.03,0.04,55.9300000667572,4.680000066757202
39,1517156444.93,21.0,0.28627450980392155,0.1568627450980392,96.3125,-15.375,8.6875,2,3,0,0,-74.6875,-11.875,-14.5,-0.06,0.0333333333333,0.02,-0.06,0.61,1.24,60.60000014305115,4.670000076293945
40,1517156449.61,21.0,0.2549019607843137,0.1607843137254902,103.8125,-15.0,7.75,2,3,0,0,-68.5,-7.0,-16.1875,0.01,-0.0177777777778,-0.0177777777778,-0.13,1.38,0.32,65.27999997138977,4.679999828338623
41,1517156454.3,12.0,0.3686274509803922,0.1607843137254902,107.375,-14.5625,3.875,1,3,0,0,-60.0625,-16.1875,-16.0625,0.0166666666667,0.0211111111111,-0.0611111111111,0.09,-0.36,-0.29,69.97000002861023,4.690000057220459
42,1517156458.9,2.0,0.36470588235294116,0.1607843137254902,125.8125,-15.0,0.375,0,3,0,0,-54.5625,-18.0625,-18.5625,-0.026666666666700003,-0.0144444444444,0.013333333333299998,0.06,-1.08,0.14,74.57000017166138,4.6000001430511475
43,1517156463.56,14.0,0.18823529411764706,0.16470588235294117,121.4375,-14.625,8.875,3,3,0,0,-32.5,0.25,-14.1875,-0.025555555555599997,-0.0922222222222,0.0177777777778,-1.29,0.82,-0.47,79.23000001907349,4.659999847412109
44,1517156468.21,10.0,0.3333333333333333,0.16470588235294117,69.25,-13.5,7.9375,0,3,0,0,-26.375,2.5,-12.875,-0.005555555555560001,-0.0166666666667,-0.00666666666667,0.09,-0.23,0.38,83.88000011444092,4.650000095367432
45,1517156472.85,2.0,0.3568627450980392,0.16470588235294117,67.875,-13.5,1.0625,0,3,0,0,-26.75,0.6875,-15.0,0.00777777777778,0.00777777777778,0.0011111111111099998,0.12,-0.43,-0.28,88.51999998092651,4.639999866485596
47,1517156482.16,1.0,0.36470588235294116,0.16470588235294117,70.0625,-12.625,2.6875,0,3,0,0,-28.875,0.875,-14.1875,0.0166666666667,0.0011111111111099998,0.012222222222200001,0.01,0.16,0.02,97.83000016212463,9.31000018119812
