,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
0,1517190805.6,15.0,0.36470588235294116,0.15294117647058825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,12.0,-20.875,-0.0011111111111099998,-0.00666666666667,-0.0033333333333300003,0.28,0.58,-0.01,0.0,
1,1517190810.24,16.0,0.30196078431372547,0.15294117647058825,314.375,-18.5625,2.3125,0.0,0.0,0.0,0.0,-20.1875,13.375,-20.375,0.0033333333333300003,-0.00666666666667,0.023333333333299996,0.06,0.07,-0.34,4.640000104904175,4.640000104904175
2,1517190814.91,2.0,0.3333333333333333,0.15294117647058825,309.3125,-16.0,1.4375,0.0,0.0,1.0,0.0,-18.5625,14.6875,-20.0,-0.0011111111111099998,0.0022222222222199996,0.06666666666669999,-0.57,-0.02,-0.2,9.31000018119812,4.670000076293945
3,1517190819.57,8.0,0.4196078431372549,0.20784313725490197,298.6875,-24.75,3.5,0.0,0.0,1.0,0.0,-8.1875,20.6875,-16.875,-0.11222222222200001,-0.005555555555560001,0.22444444444400002,0.29,-0.27,0.43,13.97000002861023,4.659999847412109
4,1517190824.23,25.0,0.6941176470588235,0.25882352941176473,236.5625,-26.1875,6.625,0.0,0.0,1.0,0.0,4.0625,22.375,-13.5,0.00666666666667,0.0144444444444,0.008888888888889999,0.3,0.83,0.04,18.630000114440918,4.6600000858306885
5,1517190828.91,44.0,0.5568627450980392,0.20392156862745098,230.75,-26.375,5.0625,0.0,0.0,1.0,0.0,5.875,20.875,-13.6875,-0.0488888888889,0.013333333333299998,0.0,0.38,0.36,1.32,23.31000018119812,4.680000066757202
6,1517190833.59,52.0,0.5843137254901961,0.17647058823529413,231.875,-24.875,5.125,0.0,0.0,1.0,0.0,3.875,21.75,-14.0625,0.0211111111111,-0.0177777777778,-0.005555555555560001,0.74,0.93,0.41,27.990000009536743,4.679999828338623
7,1517190838.23,51.0,0.12156862745098039,0.1450980392156863,231.75,-19.375,4.125,0.0,0.0,1.0,0.0,4.75,22.1875,-14.0,0.022222222222199998,0.008888888888889999,-0.0033333333333300003,0.52,0.52,-0.2,32.63000011444092,4.640000104904175
8,1517190842.9,42.0,0.13725490196078433,0.1411764705882353,231.375,-17.1875,2.625,0.0,0.0,1.0,0.0,4.1875,21.0,-13.75,0.0022222222222199996,0.02,-0.0155555555556,0.23,0.17,0.84,37.30000019073486,4.670000076293945
9,1517190847.54,30.0,0.19607843137254902,0.14901960784313725,232.125,-16.6875,4.0625,0.0,0.0,1.0,0.0,4.375,23.1875,-13.375,-0.011111111111099999,0.004444444444439999,-0.004444444444439999,0.15,0.38,0.08,41.94000005722046,4.639999866485596
