1521414662.46,None,25.0980392157 percent,16.4705882353 percent,None,8.25,-13.6875,0.875,0,0,0,0,1.6875,-49.0625,-4.0,0.0111111111111,0.0166666666667,-0.08,0.11,0.16,-0.04
1521414662.63,None,23.9215686275 percent,16.4705882353 percent,1429.0 revolutions_per_minute,9.0,-13.8125,0.9375,0,0,1,0,2.0625,-49.1875,-4.1875,0.0355555555556,0.0133333333333,-0.0711111111111,0.05,0.01,0.07
1521414662.83,12 kph,23.5294117647 percent,16.4705882353 percent,1428.0 revolutions_per_minute,9.6875,-13.875,0.875,0,0,1,0,0.25,-49.0,-2.875,-0.0122222222222,0.01,-0.0677777777778,-0.1,-0.17,0.0
1521414663.01,12 kph,None,None,1440.0 revolutions_per_minute,10.375,-13.9375,1.0,0,0,1,0,1.6875,-47.5625,-2.75,0.00444444444444,0.00333333333333,-0.0588888888889,-0.1,-0.03,-0.09
1521414663.15,None,23.5294117647 percent,16.4705882353 percent,None,10.9375,-13.9375,1.0,0,0,1,0,2.375,-47.5625,-3.875,0.0133333333333,0.0111111111111,-0.0666666666667,-0.15,-0.13,0.17
1521414663.33,12 kph,21.9607843137 percent,None,1456.0 revolutions_per_minute,11.5,-13.9375,0.9375,0,0,1,0,1.5,-46.75,-3.5,0.00333333333333,0.0,-0.0711111111111,0.02,0.15,0.06
1521414663.52,12 kph,21.568627451 percent,None,1459.0 revolutions_per_minute,12.1875,-13.9375,1.0,0,0,1,0,1.75,-47.5,-3.375,-0.0288888888889,-0.00444444444444,-0.0655555555556,-0.1,0.28,-0.2
1521414663.69,12 kph,20.7843137255 percent,15.6862745098 percent,None,12.8125,-14.0,1.0625,0,0,1,0,1.6875,-46.375,-4.25,0.00777777777778,0.00666666666667,-0.0733333333333,-0.12,-0.07,0.05
1521414663.88,12 kph,20.3921568627 percent,15.6862745098 percent,1459.0 revolutions_per_minute,13.5,-14.0625,1.1875,0,0,1,0,0.75,-46.0625,-3.75,0.0166666666667,0.00333333333333,-0.0733333333333,-0.02,-0.16,0.14
1521414664.05,13 kph,None,15.6862745098 percent,1461.0 revolutions_per_minute,14.25,-14.125,1.1875,0,0,1,0,1.5,-45.5,-5.25,0.0277777777778,0.0,-0.0655555555556,-0.31,-0.17,0.19
1521414664.22,None,20.7843137255 percent,15.6862745098 percent,1468.0 revolutions_per_minute,15.0,-14.1875,1.25,0,0,1,0,0.375,-44.375,-3.6875,0.0233333333333,0.00777777777778,-0.0855555555556,-0.05,-0.28,0.05
1521414664.41,13 kph,20.7843137255 percent,16.0784313725 percent,1470.0 revolutions_per_minute,15.8125,-14.25,1.25,0,0,1,0,0.375,-44.75,-4.1875,0.00777777777778,0.0122222222222,-0.0844444444444,-0.02,0.16,0.07
1521414664.58,13 kph,20.7843137255 percent,16.0784313725 percent,1477.0 revolutions_per_minute,16.5625,-14.375,1.25,0,0,1,0,0.75,-43.75,-3.1875,0.00777777777778,0.00222222222222,-0.0755555555556,-0.34,0.25,0.07
1521414664.78,13 kph,21.1764705882 percent,16.0784313725 percent,None,17.375,-14.4375,1.25,0,0,1,0,0.5,-43.1875,-4.1875,0.0133333333333,0.0122222222222,-0.0844444444444,-0.28,-0.19,0.23
1521414664.94,13 kph,20.3921568627 percent,16.0784313725 percent,None,18.1875,-14.5,1.25,0,0,1,0,0.5625,-42.5625,-5.1875,0.01,-0.0122222222222,-0.0855555555556,0.0,0.24,0.02
1521414665.12,13 kph,20.3921568627 percent,16.0784313725 percent,1491.0 revolutions_per_minute,19.0,-14.4375,1.5,0,0,1,0,1.375,-41.75,-4.375,-0.01,0.00222222222222,-0.0688888888889,-0.22,0.0,0.03
1521414665.28,13 kph,20.3921568627 percent,16.0784313725 percent,1499.0 revolutions_per_minute,19.6875,-14.375,1.5,0,0,1,0,0.25,-42.0,-4.75,0.00555555555556,-0.0122222222222,-0.0844444444444,-0.25,-0.01,0.02
1521414665.45,13 kph,19.6078431373 percent,15.6862745098 percent,1497.0 revolutions_per_minute,20.375,-14.4375,1.5625,0,0,1,0,1.375,-40.25,-4.1875,0.00555555555556,0.00777777777778,-0.0711111111111,-0.31,-0.16,0.39
1521414665.6,13 kph,None,15.6862745098 percent,None,20.9375,-14.4375,1.25,0,0,1,0,0.1875,-40.375,-4.5,-0.0244444444444,0.00333333333333,-0.0566666666667,-0.19,0.12,0.04
1521414665.76,13 kph,20.3921568627 percent,15.6862745098 percent,1500.0 revolutions_per_minute,21.25,-14.5625,1.1875,0,0,1,0,1.5625,-40.75,-4.5,-0.0144444444444,-0.00222222222222,-0.0333333333333,-0.12,0.33,0.09
1521414665.93,13 kph,19.6078431373 percent,15.6862745098 percent,1503.0 revolutions_per_minute,21.4375,-14.6875,1.25,0,0,1,0,0.5,-40.375,-4.1875,-0.00444444444444,0.0133333333333,-0.00555555555556,-0.15,0.57,0.21
1521414666.08,13 kph,20.0 percent,15.6862745098 percent,None,21.375,-14.8125,1.0625,0,0,1,0,0.875,-39.5,-5.25,0.00444444444444,0.00555555555556,0.03,-0.11,0.43,-0.14
1521414666.26,13 kph,19.6078431373 percent,15.6862745098 percent,1507.0 revolutions_per_minute,21.0625,-14.9375,0.4375,0,0,1,0,1.0,-39.5,-3.75,0.00333333333333,0.00222222222222,0.0288888888889,-0.18,0.25,-0.08
1521414666.45,13 kph,20.0 percent,16.0784313725 percent,1513.0 revolutions_per_minute,20.5625,-15.125,0.0,0,0,1,0,1.0,-39.1875,-5.0625,-0.00333333333333,-0.00111111111111,0.06,-0.09,0.25,-0.1
